0: 24/161
1: 6'5/6
2: 145'4/5
3: 162'7/18
4: 1'19/21
5: 31'13/24
6: 24/385
7: 13'2/9
8: 7'23/70
9: 8'29/98
10: 4'9/28
11: 45'29/45
12: 11'2/3
13: 7'18/35
14: 121/207
15: 6'22/27
16: 68'47/108
17: 3/4
18: 1
19: 1'13/93
20: 4'8/53
21: 3'3/5
22: 294
23: 33/40
24: 8'131/198
25: 12'3/4
26: 38'2/3
27: 20'11/15
28: 6'4/5
29: 4'1/8
30: 48'3/7
31: 8'1/8
32: 55/168
33: 7'7/8
34: 22'19/28
35: 6'1/3
36: 297/1612
37: 3'13/18
38: 7'27/28
39: 3'7/8
40: 9'1/3
41: 10/117
42: 5'1/8
43: 6'38/117
44: 1'9/14
45: 1'30/53
46: 21'4/147
47: 8'13/25
48: 10'48/385
49: 5'5/14
50: 38/51
51: 2'3/4
52: 4'11/21
53: 51'23/30
54: 8
55: 5'53/182
56: 7'119/368
57: 9'1/4
58: 15'1/2
59: 4'23/58
60: 55'7/10
61: 9'19/35
62: 8'19/36
63: 5'26/63
64: 2'1/12
65: 3'3/8
66: 8'9/110
67: 15'3/10
68: 32/135
69: 1'293/301
70: 13'2/7
71: 9'2/15
72: 96'23/24
73: 4'17/39
74: 23'23/120
75: 3'1/81
76: 53'149/196
77: 35'25/72
78: 1'7/18
79: 19'1/6
80: 16'13/15
81: 5'23/25
82: 1/10
83: 42'21/40
84: 4'1/2
85: 10'6/7
86: 7'23/30
87: 79'3/35
88: 4'125/184
89: 25'1/2
90: 2'13/50
91: 4'6/7
92: 31'1/2
93: 7'103/120
94: 8'19/64
95: 2'4/23
96: 8'11/24
97: 8'1/2
98: 3'19/56
99: 6'33/40
100: 1'231/460
101: 25'37/60
102: 1'2/3
103: 5'3/14
104: 8'35/117
105: 65'11/14
106: 234/245
107: 3'31/42
108: 11/40
109: 3'41/133
110: 15'17/45
111: 18'29/45
112: 8'257/308
113: 14'27/40
114: 12
115: 6'17/24
116: 11'3/7
117: 9'197/261
118: 11/270
119: 2'33/280
120: 36'2/3
121: 7'34/45
122: 25'2/3
123: 172'1/2
